series,month,value
Belgium & Luxembourg,2014-07,2987
Belgium & Luxembourg,2014-08,2946
Belgium & Luxembourg,2014-09,2233
Belgium & Luxembourg,2014-10,2029
Belgium & Luxembourg,2014-11,2546
Belgium & Luxembourg,2014-12,2321
Belgium & Luxembourg,2015-01,2063
Belgium & Luxembourg,2015-02,1968
Belgium & Luxembourg,2015-03,2594
Belgium & Luxembourg,2015-04,2369
Belgium & Luxembourg,2015-05,1765
Belgium & Luxembourg,2015-06,1599
Belgium & Luxembourg,2015-07,3225
Belgium & Luxembourg,2015-08,2905
Belgium & Luxembourg,2015-09,2155
Belgium & Luxembourg,2015-10,2336
Belgium & Luxembourg,2015-11,2271
Belgium & Luxembourg,2015-12,2329
Belgium & Luxembourg,2016-01,2289
Belgium & Luxembourg,2016-02,2503
Belgium & Luxembourg,2016-03,2760
Belgium & Luxembourg,2016-04,2411
Belgium & Luxembourg,2016-05,1848
Belgium & Luxembourg,2016-06,1586
Belgium & Luxembourg,2016-07,3310
Belgium & Luxembourg,2016-08,3147
Belgium & Luxembourg,2016-09,2282
Belgium & Luxembourg,2016-10,2565
Belgium & Luxembourg,2016-11,2491
Belgium & Luxembourg,2016-12,2166
Belgium & Luxembourg,2017-01,2336
Belgium & Luxembourg,2017-02,2431
Belgium & Luxembourg,2017-03,2678
Belgium & Luxembourg,2017-04,2955
Belgium & Luxembourg,2017-05,1758
Belgium & Luxembourg,2017-06,1741
Belgium & Luxembourg,2017-07,4055
Belgium & Luxembourg,2017-08,3249
Belgium & Luxembourg,2017-09,2500
Belgium & Luxembourg,2017-10,2425
Belgium & Luxembourg,2017-11,2454
Belgium & Luxembourg,2017-12,2218
Belgium & Luxembourg,2018-01,2482
Belgium & Luxembourg,2018-02,2591
Belgium & Luxembourg,2018-03,3029
Belgium & Luxembourg,2018-04,2938
Belgium & Luxembourg,2018-05,1874
Belgium & Luxembourg,2018-06,1845
Belgium & Luxembourg,2018-07,4902
Belgium & Luxembourg,2018-08,4142
Belgium & Luxembourg,2018-09,2586
Belgium & Luxembourg,2018-10,2670
Belgium & Luxembourg,2018-11,2727
Belgium & Luxembourg,2018-12,2481
Belgium & Luxembourg,2019-01,2632
Belgium & Luxembourg,2019-02,2489
Belgium & Luxembourg,2019-03,2800
Belgium & Luxembourg,2019-04,3530
Belgium & Luxembourg,2019-05,1967
Belgium & Luxembourg,2019-06,1860
Belgium & Luxembourg,2019-07,4483
Belgium & Luxembourg,2019-08,4092
Belgium & Luxembourg,2019-09,2677
Belgium & Luxembourg,2019-10,2576
Belgium & Luxembourg,2019-11,2820
Belgium & Luxembourg,2019-12,2536
Belgium & Luxembourg,2020-01,2704
Belgium & Luxembourg,2020-02,2444
Belgium & Luxembourg,2020-03,819
Belgium & Luxembourg,2020-04,0
Belgium & Luxembourg,2020-05,3
